n_iter,gd_adult,sgd_adult,adam_adult,irls_credit,gd_credit,sgd_credit,adam_credit,irls_sick,gd_sick,sgd_sick,adam_sick,irls_titanic,gd_titanic,sgd_titanic,adam_titanic
10,0.37662996875032567,0.3793778782076998,2.088779893114142,0.4397883680889956,1.31503448044758,1.3082584554238277,1.1976157775573923,0.10073705781318343,0.3325737621517495,0.39869934384601435,1.3558846973051102,0.07002767219769153,0.8130683271178565,0.6733242119634005,1.6610541828153813
11,0.3726303575374108,0.3762802738272892,2.0859460882318346,0.4397883680889956,1.3083447902480483,1.2985656264143333,1.1963924468794096,0.10073670740226352,0.32066421811135265,0.3705216189974213,1.3542791454807421,0.07002767219769149,0.7841789022666249,0.6562529402716065,1.6591085698693948
12,0.3692150403748559,0.37358050963669753,2.08311803047701,0.4397883680889956,1.3018921974946258,1.2890932946394447,1.1951767066424983,0.10073653177233396,0.3101433315338978,0.34696330601528774,1.3526768008016061,0.0700276721976915,0.7573586714964999,0.6398182322770419,1.6571670823951992
13,0.36624796918902264,0.3712135252766303,2.0803017252320894,0.4397883680889956,1.2956622190277836,1.2798204061001024,1.1939711272635527,0.10073643107468579,0.30077885741414423,0.32714622025895645,1.3510810645798315,0.07002767219769156,0.732347677703883,0.6239995047647188,1.6552338424193729
14,0.363633583152656,0.36909351426557624,2.077501983470383,0.4397883680889956,1.2896410700726573,1.2707469236140267,1.192777720077507,0.10073636685364458,0.29238493096139545,0.310285602065368,1.349494661253069,0.07002767219769153,0.7089284272167844,0.608771390800956,1.653312150494056
15,0.36130661691202626,0.3671760133881248,2.074722642338611,0.4397883680889956,1.2838156622065497,1.2618423977658082,1.1915980414053673,0.10073632258992565,0.28481175157060634,0.29586703930197705,1.3479197637048097,0.07002767219769153,0.6869187276404423,0.594109283057139,1.6514046374635225
16,0.3592181325231656,0.3654191204821415,2.071966740468637,0.4397883680889956,1.2781735966191667,1.2531034946166644,1.1904332754955005,0.10073629030393894,0.2779377076723288,0.28343293033522543,1.3463580929689705,0.07002767219769153,0.6661655873053016,0.5799995458297402,1.6495133850911168
17,0.35733235082557724,0.36380918971774234,2.0692366588875193,0.4397883680889956,1.272703153266783,1.2445182979988536,1.189284301356076,0.10073626573470915,0.27166336804660696,0.2726314720919478,1.3448109975892202,0.07002767219769153,0.6465401024392591,0.5664102388989422,1.6476400230148844
18,0.35562058385187706,0.3623168430780747,2.066534235329497,0.4397883680889956,1.2673932765018388,1.236102556954909,1.1881517471074718,0.10073624641698586,0.2659068793600357,0.2631613928724836,1.3432795181080655,0.07002767219769153,0.6279332163144417,0.5533334923349739,1.6457858074062357
19,0.3540605561126121,0.3609345668995645,2.0638608576948894,0.4397883680889956,1.262233557732076,1.227833227392944,1.1870360345365814,0.10073623083067741,0.2606004177839702,0.25481098376780775,1.3417644408694183,0.07002767219769153,0.6102522243984825,0.5407408853503507,1.643951685276009
20,0.3526334749279075,0.3596373377665192,2.061217540958802,0.4397883680889956,1.2572142156300967,1.2197121911523872,1.1859374158710898,0.10073621798930511,0.2556874325667209,0.24741560057409742,1.3402663407361666,0.07002767219769153,0.5934179054171744,0.5286075321622971,1.6421383473905973
21,0.3513241105100703,0.3584200089436354,2.0586049907975004,0.43978836808899546,1.252326074376923,1.2117198240328437,1.184856004314555,0.10073620722541818,0.25112048865917075,0.24081547670093725,1.3387856173046049,0.07002767219769153,0.5773621711899444,0.5169165644672931,1.640346272050373
