C,No. of features,Balanced accuracy,Final score
0.46,607.0,0.9691450109995959,0.9412950109995959
0.47000000000000003,700.0,0.9681348440261378,0.9356348440261378
0.48000000000000004,702.0,0.9716826728814043,0.9390826728814043
0.49,776.0,0.969654175969046,0.933354175969046
0.5,864.0,0.9686276830647038,0.9279276830647039
0.51,728.0,0.9681348440261378,0.9342348440261378
0.52,824.0,0.9660900211828953,0.9273900211828954
0.53,757.0,0.9671491659490059,0.9317991659490059
0.54,591.0,0.9676420049875718,0.9405920049875718
0.55,616.0,0.9701388520421699,0.9418388520421699
0.56,722.0,0.9691450109995959,0.935545010999596
0.5700000000000001,750.0,0.9655971821443294,0.9305971821443294
0.5800000000000001,633.0,0.9691694998959222,0.9400194998959222
0.59,778.0,0.9726846768894204,0.9362846768894204
0.6,619.0,0.9716745099159623,0.9432245099159623
0.61,593.0,0.9706888318388305,0.9435388318388305
0.62,611.0,0.9706643429425041,0.9426143429425041
0.63,625.0,0.9686684978919142,0.9399184978919142
0.64,622.0,0.9706888318388305,0.9420888318388305
0.65,594.0,0.9686358460301459,0.9414358460301459
0.66,619.0,0.9676501679530141,0.9392001679530141
0.67,593.0,0.9676256790566877,0.9404756790566877
0.68,624.0,0.9676583309184561,0.9389583309184562
0.6900000000000001,620.0,0.9696296870727198,0.9411296870727198
0.7000000000000001,614.0,0.9665991861523454,0.9383991861523454
0.7100000000000001,627.0,0.9711816708773964,0.9423316708773963
0.72,605.0,0.96865217196103,0.94090217196103
0.73,607.0,0.9691939887922485,0.9413439887922485
0.74,617.0,0.96814300699158,0.93979300699158
0.75,619.0,0.9701796668693803,0.9417296668693803
0.76,609.0,0.969654175969046,0.941704175969046
0.77,611.0,0.9676420049875718,0.9395920049875718
0.78,638.0,0.9651043431057635,0.9357043431057636
0.79,612.0,0.9676420049875718,0.9395420049875718
0.8,626.0,0.9676420049875718,0.9388420049875718
0.81,615.0,0.9666073491177876,0.9383573491177876
0.8200000000000001,633.0,0.9721836748854125,0.9430336748854125
0.8300000000000001,648.0,0.9676093531258035,0.9377093531258035
0.8400000000000001,628.0,0.9691368480341538,0.9402368480341537
0.85,631.0,0.9676583309184561,0.9386083309184561
0.86,642.0,0.9676338420221298,0.9380338420221298
0.87,625.0,0.9691694998959222,0.9404194998959221
0.88,634.0,0.9676420049875718,0.9384420049875718
0.89,641.0,0.9691531739650381,0.9396031739650381
0.9,621.0,0.9686358460301459,0.9400858460301459
0.91,616.0,0.9661226730446637,0.9378226730446637
0.92,616.0,0.9711898338428384,0.9428898338428384
0.93,635.0,0.9661145100792216,0.9368645100792216
0.9400000000000001,650.0,0.9691368480341538,0.9391368480341538
0.9500000000000001,634.0,0.9676093531258035,0.9384093531258035
0.9600000000000001,630.0,0.9711653449465122,0.9421653449465122
0.97,659.0,0.9701551779730541,0.9397051779730541
0.98,643.0,0.9651369949675318,0.9354869949675318
0.99,662.0,0.9706806688733883,0.9400806688733884
1.0,633.0,0.9722081637817386,0.9430581637817386
1.01,653.0,0.9721673489545282,0.9420173489545282
1.02,639.0,0.9655890191788873,0.9361390191788873
1.03,640.0,0.9691450109995959,0.939645010999596
1.04,639.0,0.9691368480341538,0.9396868480341538
1.05,641.0,0.9716745099159623,0.9421245099159623
1.06,647.0,0.969662338934488,0.939812338934488
1.07,678.0,0.9681266810606958,0.9367266810606958
1.08,643.0,0.9686440089955879,0.9389940089955879
1.09,644.0,0.9656053451097715,0.9359053451097714
1.1,641.0,0.9676093531258035,0.9380593531258036
1.11,657.0,0.969654175969046,0.939304175969046
1.12,687.0,0.9691613369304801,0.9373113369304801
1.1300000000000001,662.0,0.9676093531258035,0.9370093531258036
1.1400000000000001,659.0,0.966648163944998,0.936198163944998
1.1500000000000001,669.0,0.969662338934488,0.938712338934488
1.1600000000000001,696.0,0.9661063471137795,0.9338063471137795
1.17,671.0,0.964570689239987,0.933520689239987
1.18,663.0,0.9671083511217955,0.9364583511217955
1.19,649.0,0.9671165140872375,0.9371665140872375
1.2,663.0,0.969662338934488,0.9390123389344881
1.21,700.0,0.9686358460301459,0.9361358460301459
1.22,660.0,0.9681185180952536,0.9376185180952537
1.23,653.0,0.9681674958879061,0.9380174958879061
1.24,704.0,0.9691450109995959,0.936445010999596
1.25,673.0,0.9706806688733883,0.9395306688733883
1.26,689.0,0.9701796668693803,0.9382296668693803
1.27,661.0,0.9721836748854125,0.9416336748854125
1.28,689.0,0.9665910231869033,0.9346410231869032
1.29,662.0,0.9686195200992617,0.9380195200992617
1.3,684.0,0.9671246770526798,0.9354246770526798
1.31,674.0,0.9676501679530141,0.9364501679530141
1.32,695.0,0.9706561799770621,0.9384061799770621
1.33,685.0,0.97115718198107,0.9394071819810701
1.34,688.0,0.9661308360101057,0.9342308360101057
1.35,725.0,0.969654175969046,0.9359041759690461
1.36,715.0,0.9696786648653724,0.9364286648653724
1.37,670.0,0.9686440089955879,0.9376440089955879
1.3800000000000001,698.0,0.9676175160912457,0.9352175160912457
1.3900000000000001,686.0,0.9676175160912457,0.9358175160912456
1.4000000000000001,681.0,0.9701551779730541,0.9386051779730541
1.4100000000000001,678.0,0.9701715039039382,0.9387715039039383
1.42,675.0,0.9701551779730541,0.9389051779730541
1.43,711.0,0.9721755119199702,0.9391255119199702
1.44,682.0,0.969662338934488,0.9380623389344881
1.45,692.0,0.9711979968082805,0.9390979968082804
1.46,680.0,0.9650798542094372,0.9335798542094372
1.47,704.0,0.9656135080752135,0.9329135080752136
1.48,706.0,0.9671001881563535,0.9343001881563534
1.49,693.0,0.9665910231869033,0.9344410231869033
1.5,701.0,0.9711735079119542,0.9386235079119543
1.51,716.0,0.965063528278553,0.931763528278553
1.52,715.0,0.969646013003604,0.936396013003604
1.53,693.0,0.9701796668693803,0.9380296668693803
1.54,717.0,0.9671246770526798,0.9337746770526798
1.55,705.0,0.9696296870727198,0.9368796870727198
1.56,723.0,0.9716663469505202,0.9380163469505203
1.57,680.0,0.9691368480341538,0.9376368480341538
1.58,661.0,0.969654175969046,0.939104175969046
1.59,709.0,0.9716745099159623,0.9387245099159622
1.6,709.0,0.9671491659490059,0.9341991659490059
1.61,729.0,0.9666155120832296,0.9326655120832296
1.62,726.0,0.9706806688733883,0.9368806688733884
1.6300000000000001,705.0,0.969646013003604,0.9368960130036039
1.6400000000000001,750.0,0.9676338420221298,0.9326338420221297
1.6500000000000001,719.0,0.9686603349264721,0.9352103349264721
1.6600000000000001,710.0,0.9661389989755478,0.9331389989755478
1.6700000000000002,698.0,0.9721836748854125,0.9397836748854125
1.68,748.0,0.9655808562134452,0.9306808562134452
1.69,711.0,0.9686195200992617,0.9355695200992616
